srr_id	sample_name	sample	exp_id	layout
SRR524940	A5_Input	P1_Input	P1	SE
SRR2094186	A5_H3K4me1	P1_H3K4me1	P1	SE
SRR2094193	A5_H3K27ac	P1_H3K27ac	P1	SE
SRR452958	A5_CTCF	P1_CTCF	P1	SE
SRR8509491	NCO18_d10jf_CTCF	P2_CTCF	NCO18	PE
SRR8509492	NCO18_d10jf_H3K27ac	P2_H3K27ac	NCO18	PE
SRR8509493	NCO18_d10jf_H3K4me1	P2_H3K4me1	NCO18	PE
SRR8509495	NCO18_d10jf_Input	P2_Input	NCO18	PE
SRR8509496	NCO20_d10jf_CTCF	P2_CTCF	NCO20	PE
SRR8509497	NCO20_d10jf_H3K27ac	P2_H3K27ac	NCO20	PE
SRR8509498	NCO20_d10jf_H3K4me1	P2_H3K4me1	NCO20	PE
SRR8509500	NCO20_d10jf_Input	P2_Input	NCO20	PE
SRR8509501	NCO9_d10jf_CTCF	P2_CTCF	NCO9	PE
SRR8509502	NCO9_d10jf_H3K27ac	P2_H3K27ac	NCO9	PE
SRR8509503	NCO9_d10jf_H3K4me1	P2_H3K4me1	NCO9	PE
SRR8509505	NCO9_d10jf_Input	P2_Input	NCO9	PE
